Code,Station,Province/Territory,Latitude,Longitude,Temperature (deg C)
yko,Akulivik Airport (QC),Quebec,60.82,78.15,-28
wzs,Amqui (QC),Quebec,48.47,67.43,-4
yla,Aupaluk Airport (QC),Quebec,59.3,69.6,-30
ybg,"Bagotville, CFB (QC)",Quebec,48.33,71.0,-4
wfw,Baie-Comeau (QC),Quebec,49.26,68.15,-6
ybc,Baie-Comeau Airport (QC),Quebec,49.13,68.2,-6
gbc,Baie-Comeau Climate (QC),Quebec,49.13,68.2,-7
whv,Beauceville (QC),Quebec,46.21,70.79,3
xbo,Beauport (QC),Quebec,46.84,71.2,1000
ybx,Blanc-Sablon Airport (QC),Quebec,51.44,57.19,-13
wkd,Bonnard (QC),Quebec,50.73,71.01,-16
wsg,Cap-Chat (QC),Quebec,49.11,66.65,-7
wrz,Cap-d'Espoir (QC),Quebec,48.42,64.32,-5
wqm,Cap-Rouge (QC),Quebec,48.37,70.54,-4
wtn,Cap Tourmente (QC),Quebec,47.08,70.78,-2
wqw,Cap Whittle (QC),Quebec,50.16,60.06,-9
gcl,Causapscal Airport (QC),Quebec,48.31,67.25,-1
wee,Chamouchouane (QC),Quebec,49.28,73.36,-8
wuk,Chapais (QC),Quebec,49.82,74.98,-12
wis,Charlevoix (QC),Quebec,47.28,70.64,-7
wdm,Chevery (QC),Quebec,50.47,59.64,-10
gch,Chibougamau Chapais (QC),Quebec,49.78,74.53,-12
ymt,Chibougamau Chapais Airport (QC),Quebec,49.77,74.53,-12
wdt,Chute-Des-Passes (QC),Quebec,49.84,71.17,-10
whq,Deschambault (QC),Quebec,46.69,71.97,0
zem,Eastmain Airport (QC),Quebec,52.23,78.52,-20
mfm,Foret Montmorency (QC),Quebec,47.32,71.15,-1
wfq,Frelighsburg (QC),Quebec,45.03,72.85,8
ygp,Gaspé Airport (QC),Quebec,48.78,64.48,-5
ynd,Gatineau Airport (QC),Quebec,45.52,75.56,2
mgb,Granby (QC),Quebec,45.37,72.77,4
ygv,Havre-Saint-Pierre Airport (QC),Quebec,50.28,63.61,-10
whp,Heath Point (QC),Quebec,49.09,61.7,-8
xhf,High Falls (QC),Quebec,45.84,75.65,4
wig,Île aux-Grues (QC),Quebec,47.07,70.53,1000
wqr,Île aux Perroquets (QC),Quebec,50.22,64.21,-9
wqo,Île Bicquette (QC),Quebec,48.42,68.89,-6
wer,Île d'Orléans (QC),Quebec,47.0,70.81,1000
waf,Île Rouge (QC),Quebec,48.07,69.56,-5
ygr,Îles de la Madeleine Airport (QC),Quebec,47.43,61.78,-3
yph,Inukjuak Airport (QC),Quebec,58.47,78.08,-28
yik,Ivujivik Airport (QC),Quebec,62.42,77.93,-25
wjo,Jonquière (QC),Quebec,48.43,71.14,-4
ylu,Kangiqsualujjuaq Airport (QC),Quebec,58.71,65.99,-29
ykg,Kangiqsujuaq Airport (QC),Quebec,61.59,71.93,-23
yas,Kangirsuk Airport (QC),Quebec,60.03,70.0,-31
yvp,Kuujjuaq Airport (QC),Quebec,58.09,68.42,-29
mfj,Kuujjuarapik (QC),Quebec,55.37,77.57,-24
ygw,Kuujjuarapik Airport (QC),Quebec,55.28,77.77,-24
wux,La Baie (QC),Quebec,48.3,70.92,-3
wiz,L'Acadie (QC),Quebec,45.29,73.35,2
wde,Lac Benoit (QC),Quebec,51.53,71.11,-14
weo,Lac Eon (QC),Quebec,51.87,63.28,-21
wdp,Lac Manouane East (QC),Quebec,50.66,70.53,-15
wtt,Lac Memphremagog (QC),Quebec,45.27,72.17,3
wbs,Lac Saint-Pierre (QC),Quebec,46.18,72.92,1
yah,La Grande IV Airport (QC),Quebec,53.75,73.68,-24
ygl,La Grande Rivière Airport (QC),Quebec,53.63,77.7,-26
wst,La Pocatière (QC),Quebec,47.36,70.03,-5
wew,L'Assomption (QC),Quebec,45.81,73.43,2
xlt,Laterriere (QC),Quebec,48.31,71.13,-3
wdq,La Tuque (QC),Quebec,47.41,72.79,-4
mlu,Lemieux (QC),Quebec,46.3,72.06,1
wqh,Lennoxville (QC),Quebec,45.37,71.82,5
wpd,L'Étape (QC),Quebec,47.56,71.23,-2
wbt,Longue-Pointe-de-Mingan (QC),Quebec,50.27,64.23,-7
wmj,Maniwaki Airport (QC),Quebec,46.27,75.99,3
gmg,Matagami (QC),Quebec,49.76,77.79,-14
ynm,Matagami Airport (QC),Quebec,49.76,77.8,-14
wta,McTavish (QC),Quebec,45.5,73.58,2
wix,Mistook (QC),Quebec,48.6,71.72,-7
mji,Mont-Joli (QC),Quebec,48.6,68.19,-8
yyy,Mont-Joli Airport (QC),Quebec,48.61,68.21,-8
wtq,Montréal (QC),Quebec,45.47,73.74,3
ymx,Montréal-Mirabel Int'l Airport (QC),Quebec,45.68,74.04,2
yul,Montréal-Trudeau Int'l Airport (QC),Quebec,45.47,73.74,2
mnt,Natashquan (QC),Quebec,50.19,61.81,-10
yna,Natashquan Airport (QC),Quebec,50.19,61.79,-10
woc,New Carlisle (QC),Quebec,48.01,65.33,-4
mjn,New Richmond East (QC),Quebec,48.16,65.84,-2
wnq,Nicolet (QC),Quebec,46.23,72.66,1
wod,Normandin (QC),Quebec,48.84,72.55,-7
wxc,Onatchiway (QC),Quebec,48.89,71.03,-3
wpk,Parent (QC),Quebec,47.92,74.62,-5
wyq,Pointe-au-Père (QC),Quebec,48.51,68.47,-6
wqv,Pointe Claveau (QC),Quebec,48.26,70.11,-5
wqd,Pointe de l'Islet (QC),Quebec,48.14,69.72,-5
wtg,Pointe-des-Monts (QC),Quebec,49.32,67.38,-8
wip,Pointe-Noire (QC),Quebec,50.16,66.43,-8
wby,Port Menier (QC),Quebec,49.84,64.29,-8
ypx,Puvirnituq Airport (QC),Quebec,60.05,77.29,-29
yha,Quaqtaq Airport (QC),Quebec,61.05,69.62,-22
wqb,Quebec (QC),Quebec,46.8,71.38,-1
yqb,Quebec Lesage Int'l Airport (QC),Quebec,46.79,71.39,-2
mrf,Rivière aux Feuilles (QC),Quebec,57.91,72.98,-30
wnh,Rivière-du-Loup (QC),Quebec,47.81,69.55,-6
wsf,Rivière-la-Madeleine (QC),Quebec,49.25,65.32,-7
yrj,Roberval Airport (QC),Quebec,48.52,72.27,-9
wuy,Rouyn (QC),Quebec,48.25,79.03,-9
yuy,Rouyn Airport (QC),Quebec,48.21,78.84,-8
wbz,Saint-Anicet (QC),Quebec,45.12,74.29,2
wvq,Sainte-Anne-de-Bellevue (QC),Quebec,45.43,73.93,2
wit,Sainte-Clothilde (QC),Quebec,45.17,73.68,3
wjb,Sainte-Foy - Laval University (QC),Quebec,46.78,71.29,-2
msi,Saint-Germain-de-Grantham (QC),Quebec,45.83,72.54,4
yhu,Saint-Hubert Airport (QC),Quebec,45.52,73.42,2
wjt,Saint-Jovite (QC),Quebec,46.08,74.56,3
mfx,Salluit (QC),Quebec,62.18,75.67,-27
yzg,Salluit Airport (QC),Quebec,62.18,75.67,-26
gkl,Schefferville (QC),Quebec,54.8,66.8,-26
ykl,Schefferville Airport (QC),Quebec,54.81,66.81,-26
xzv,Sept-Îles (QC),Quebec,50.22,66.25,-9
